"Date","Soybeans","Soybean oil","Soybean meal"
NA,NA,NA,NA
2003,"264","558.58500000000004","232.64"
2004,"306.5","618.22583333333","259.88666666667001"
2005,"274.6875","544.59333333332995","236.76166666667001"
2006,"268.64583333333002","599.33500000000004","227.36166666667"
2007,"383.10333333333","886.05666666667003","321.9375"
2008,"521.87","1260.81083333333","442.13833333333002"
2009,"423.6225","853.06500000000005","423.57583333333002"
2010,"447.10166666666998","1000.85583333333","398.34583333333001"
2011,"537.51916666667","1297.6600000000001","408.67166666666998"
2012,"595.50750000000005","1225.6025","531.69583333333003"
2013,"551.38916666667001","1055.39333333333","543.46249999999998"
2014,"484.85750000000002","905.96916666667005","522.46749999999997"
2015,"392.1225","755.63250000000005","389.45499999999998"
2016,"405.44749999999999","814.99416666667003","374.66166666666999"
2017,"393.37811183333002","850.39666666666994","350.24166666667003"
2018,"394.42416666666998","789.11749999999995","405.22583333333"
2019,"368.94666666667001","765.44","347.02249999999998"
2020,"406.63984166466997","837.75632231404995","394.17900168350002"
2021,"583.32249999999999","1385.4066666666699","480.97500000000002"
2022,"675.39499999999998","1666.7974999999999","547.85749999999996"
2023,"597.89833333333002","1118.50166666667","541.42416666666998"
